Start_date,A_H3
1996-12-30,1
1997-01-06,1
1997-01-13,5
1997-01-20,2
1997-01-27,1
1997-02-03,3
1997-02-10,3
1997-02-17,3
1997-02-24,7
1997-03-03,6
1997-03-10,5
1997-03-17,11
1997-03-24,5
1997-03-31,10
1997-04-07,5
1997-04-14,10
1997-04-21,11
1997-04-28,10
1997-05-05,11
1997-05-12,19
1997-05-19,25
1997-05-26,29
1997-06-02,45
1997-06-09,12
1997-06-16,30
1997-06-23,34
1997-06-30,22
1997-07-07,23
1997-07-14,16
1997-07-21,21
1997-07-28,17
1997-08-04,6
1997-08-11,3
1997-08-18,2
1997-08-25,
1997-09-01,2
1997-09-08,
1997-09-15,
1997-09-22,
1997-09-29,1
1997-10-06,
1997-10-13,
1997-10-20,
1997-10-27,
1997-12-08,
1997-12-15,
1997-12-22,
1998-01-19,
1998-02-16,
1998-02-23,
1998-03-02,
1998-03-09,
1998-03-16,
1998-03-23,
1998-03-30,
1998-04-06,
1998-04-13,
1998-04-20,
1998-04-27,
1998-05-18,
1998-10-19,5
1998-11-02,
1998-11-23,6
1998-11-30,
1998-12-07,
1998-12-14,24
1999-08-16,212
1999-09-20,73
1999-10-18,18
1999-11-15,15
1999-12-13,13
1999-12-20,
2000-07-03,45
2000-07-10,37
2000-07-17,17
2000-07-24,31
2000-07-31,23
2000-08-07,27
2000-08-14,39
2000-08-21,27
2000-08-28,8
2000-09-04,18
2000-09-11,2
2000-09-18,7
2000-09-25,1
2000-10-02,
2000-10-09,0
2000-10-16,1
2000-10-23,0
2000-10-30,0
2000-11-06,1
2000-11-13,0
2000-11-20,0
2000-11-27,0
2000-12-04,1
2000-12-11,
2000-12-18,
2000-12-25,0
2001-01-01,1
2001-01-08,1
2001-01-15,1
2001-01-22,1
2001-01-29,4
2001-02-05,4
2001-02-12,7
2001-02-19,2
2001-02-26,0
2001-03-05,0
2001-03-12,8
2001-03-19,2
2001-03-26,5
2001-04-02,1
2001-04-09,3
2001-04-16,10
2001-04-23,3
2001-04-30,12
2001-05-07,3
2001-05-14,8
2001-05-21,7
2001-05-28,4
2001-06-04,3
2001-06-11,3
2001-06-18,2
2001-06-25,1
2001-07-02,2
2001-07-09,2
2001-07-16,4
2001-07-23,7
2001-07-30,9
2001-08-06,3
2001-08-13,4
2001-08-20,3
2001-08-27,1
2001-09-03,1
2001-09-10,1
2001-09-17,0
2001-09-24,0
2001-10-01,2
2001-10-08,0
2001-10-15,0
2001-10-22,0
2001-10-29,0
2001-11-05,1
2001-11-12,2
2001-11-19,1
2001-11-26,1
2001-12-03,1
2001-12-10,2
2001-12-17,7
2001-12-24,
2001-12-31,10
2002-01-07,12
2002-01-14,27
2002-01-21,31
2002-01-28,98
2002-02-04,
2002-02-11,56
2002-02-18,35
2002-02-25,44
2002-03-04,44
2002-03-11,67
2002-03-18,64
2002-03-25,50
2002-04-01,13
2002-04-08,85
2002-04-15,94
2002-04-22,85
2002-04-29,44
2002-05-06,36
2002-05-13,51
2002-05-20,40
2002-05-27,64
2002-06-03,49
2002-06-10,52
2002-06-17,64
2002-06-24,60
2002-07-01,70
2002-07-08,58
2002-07-15,68
2002-07-22,48
2002-07-29,64
2002-08-05,47
2002-08-12,26
2002-08-19,16
2002-08-26,15
2002-09-02,12
2002-09-09,6
2002-09-16,4
2002-09-23,2
2002-09-30,6
2002-10-07,3
2002-10-14,2
2002-10-21,4
2002-10-28,4
2002-11-04,3
2002-11-11,1
2002-11-18,1
2002-11-25,1
2002-12-02,6
2002-12-09,5
2002-12-16,7
2002-12-23,12
2002-12-30,24
2003-01-06,22
2003-01-13,35
2003-01-20,13
2003-01-27,8
2003-02-03,55
2003-02-10,106
2003-02-17,74
2003-02-24,87
2003-03-03,111
2003-03-10,113
2003-03-17,133
2003-03-24,156
2003-03-31,90
2003-04-07,28
2003-04-14,26
2003-04-21,2
2003-04-28,9
2003-05-05,11
2003-05-12,2
2003-05-19,5
2003-05-26,21
2003-06-02,11
2003-06-09,5
2003-06-16,11
2003-06-23,24
2003-06-30,29
2003-07-07,14
2003-07-14,30
2003-07-21,25
2003-07-28,11
2003-08-04,15
2003-08-11,12
2003-08-18,15
2003-08-25,32
2003-09-01,14
2003-09-08,14
2003-09-15,38
2003-09-22,31
2003-09-29,31
2003-10-06,10
2003-10-13,27
2003-10-20,9
2003-10-27,4
2003-11-03,6
2003-11-10,1
2003-11-17,3
2003-11-24,4
2003-12-01,2
2003-12-08,5
2003-12-15,7
2003-12-22,1
2003-12-29,18
2004-01-05,4
2004-01-12,9
2004-01-19,6
2004-01-26,16
2004-02-02,39
2004-02-09,146
2004-02-16,146
2004-02-23,117
2004-03-01,129
2004-03-08,156
2004-03-15,146
2004-03-22,193
2004-03-29,190
2004-04-05,162
2004-04-12,163
2004-04-19,125
2004-04-26,132
2004-05-03,143
2004-05-10,77
2004-05-17,107
2004-05-24,69
2004-05-31,72
2004-06-07,160
2004-06-14,128
2004-06-21,95
2004-06-28,82
2004-07-05,178
2004-07-12,132
2004-07-19,240
2004-07-26,316
2004-08-02,184
2004-08-09,202
2004-08-16,151
2004-08-23,118
2004-08-30,137
2004-09-06,62
2004-09-13,65
2004-09-20,68
2004-09-27,49
2004-10-04,17
2004-10-11,11
2004-10-18,9
2004-10-25,2
2004-11-01,2
2004-11-08,2
2004-11-15,2
2004-11-22,3
2004-11-29,4
2004-12-06,8
2004-12-13,1
2004-12-20,1
2005-01-03,5
2005-01-10,12
2005-01-17,13
2005-01-24,19
2005-01-31,17
2005-02-07,18
2005-02-14,29
2005-02-21,43
2005-02-28,30
2005-03-07,43
2005-03-14,86
2005-03-21,125
2005-03-28,133
2005-04-04,183
2005-04-11,92
2005-04-18,170
2005-04-25,143
2005-05-02,185
2005-05-09,103
2005-05-16,367
2005-05-23,380
2005-05-30,603
2005-06-06,332
2005-06-13,450
2005-06-20,408
2005-06-27,112
2005-07-04,128
2005-07-11,110
2005-07-18,48
2005-07-25,35
2005-08-01,22
2005-08-08,7
2005-08-15,4
2005-08-22,9
2005-08-29,9
2005-09-05,1
2005-09-12,3
2005-09-19,4
2005-09-26,8
2005-10-03,0
2005-10-10,6
2005-10-17,3
2005-10-24,5
2005-10-31,6
2005-11-07,1
2005-11-14,7
2005-11-21,11
2005-11-28,5
2005-12-05,2
2005-12-12,3
2005-12-19,17
2005-12-26,15
2006-01-02,5
2006-01-09,14
2006-01-16,18
2006-01-23,10
2006-01-30,5
2006-02-06,7
2006-02-13,13
2006-02-20,14
2006-02-27,11
2006-03-06,7
2006-03-13,17
2006-03-20,8
2006-03-27,4
2006-04-03,3
2006-04-10,1
2006-04-17,0
2006-04-24,2
2006-05-01,0
2006-05-08,0
2006-05-15,0
2006-05-22,0
2006-05-29,0
2006-06-05,0
2006-06-12,2
2006-06-19,0
2006-06-26,1
2006-07-03,1
2006-07-10,4
2006-07-17,4
2006-07-24,3
2006-07-31,3
2006-08-07,6
2006-08-14,4
2006-08-21,7
2006-08-28,3
2006-09-04,7
2006-09-11,23
2006-09-18,19
2006-09-25,25
2006-10-02,10
2006-10-09,13
2006-10-16,5
2006-10-23,4
2006-10-30,2
2006-11-06,2
2006-11-13,1
2006-11-20,6
2006-11-27,16
2006-12-04,47
2006-12-11,41
2006-12-18,87
2006-12-25,174
2007-01-01,128
2007-01-08,313
2007-01-15,373
2007-01-22,326
2007-01-29,300
2007-02-05,275
2007-02-12,233
2007-02-19,129
2007-02-26,321
2007-03-05,345
2007-03-12,312
2007-03-19,290
2007-03-26,226
2007-04-02,143
2007-04-09,82
2007-04-16,108
2007-04-23,92
2007-04-30,66
2007-05-07,74
2007-05-14,39
2007-05-21,22
2007-05-28,43
2007-06-04,45
2007-06-11,56
2007-06-18,130
2007-06-25,274
2007-07-02,373
2007-07-09,395
2007-07-16,336
2007-07-23,172
2007-07-30,134
2007-08-06,62
2007-08-13,25
2007-08-20,11
2007-08-27,18
2007-09-03,20
2007-09-10,18
2007-09-17,12
2007-09-24,11
2007-10-01,11
