"","x"
"1",0.639065005301002
"2",0.159678462951315
"3",0.14190135681734
"4",0.128677535884917
"5",0.0774228773897324
"6",0.055301745152582
"7",0.138968692097722
"8",0.0792175393002214
"9",0.136809333149543
"10",0.369575008488443
"11",0.118413028564025
"12",0.0575720696566584
"13",0.0861482325065217
"14",0.196470157904452
"15",0.161981872013724
"16",0.134125010731891
"17",0.0886877954510303
"18",0.146783341251952
"19",0.153177607089403
"20",0.112140960642576
"21",0.274271444038865
"22",0.0525949876818573
"23",0.169768170171498
"24",0.19894278013562
"25",0.22444563927399
"26",0.11560277726029
"27",0.186599268050717
"28",0.169132556865006
"29",0.0770593530296403
"30",0.116787810897479
"31",0.0890427987742649
"32",0.117448107246967
"33",0.12986137019981
"34",0.0915960243219811
"35",0.0994825505304976
"36",0.344124062049761
"37",0.346099527989096
"38",0.122387489500643
"39",0.163720289327751
"40",0.159512745252777
"41",0.0718333668961223
"42",0.213564932226043
"43",0.241385202912152
"44",0.175496739861319
"45",0.10887573493689
