"","x"
"1",9
"2",8
"3",5
"4",10
"5",4
"6",4
"7",11
"8",8
"9",5
"10",4
"11",4
"12",8
"13",10
"14",9
"15",5
"16",8
"17",12
"18",10
"19",6
"20",11
"21",7
"22",4
"23",4
"24",4
"25",7
"26",11
"27",3
"28",8
"29",7
"30",5
"31",6
"32",12
"33",13
"34",10
"35",15
"36",6
"37",9
"38",4
"39",6
"40",5
"41",3
"42",4
"43",2
"44",4
"45",3
"46",4
"47",11
"48",3
"49",3
"50",8
"51",24
"52",5
"53",5
"54",3
"55",3
"56",1
"57",6
"58",4
"59",12
"60",13
"61",8
"62",11
"63",12
"64",4
"65",18
"66",7
"67",8
"68",5
"69",9
"70",12
"71",7
"72",5
"73",10
"74",4
"75",4
"76",11
"77",9
"78",5
"79",3
"80",4
"81",8
"82",10
"83",9
"84",5
"85",8
"86",12
"87",10
"88",6
"89",11
"90",7
"91",3
"92",4
"93",4
"94",7
"95",11
"96",3
"97",8
"98",7
"99",5
"100",6
"101",12
"102",13
"103",10
"104",15
"105",6
"106",9
"107",4
"108",6
"109",5
"110",3
"111",4
"112",1
"113",4
"114",3
"115",4
"116",11
"117",3
"118",4
"119",8
"120",25
"121",4
"122",5
"123",3
"124",3
"125",1
"126",5
"127",3
"128",11
"129",13
"130",8
"131",11
"132",11
"133",4
"134",18
"135",6
"136",8
"137",5
"138",7
"139",12
"140",8
"141",5
"142",11
"143",4
"144",4
"145",11
"146",9
"147",5
"148",4
"149",4
"150",8
"151",11
"152",9
"153",5
"154",8
"155",13
"156",10
"157",6
"158",11
"159",5
"160",3
"161",4
"162",4
"163",7
"164",11
"165",3
"166",8
"167",7
"168",4
"169",6
"170",12
"171",13
"172",11
"173",16
"174",5
"175",9
"176",4
"177",7
"178",5
"179",3
"180",4
"181",1
"182",4
"183",3
"184",4
"185",11
"186",3
"187",5
"188",8
"189",25
"190",5
"191",5
"192",3
"193",3
"194",1
"195",5
"196",3
"197",11
"198",14
"199",8
"200",13
"201",11
"202",4
"203",18
"204",6
"205",9
"206",5
"207",5
"208",13
"209",8
"210",6
"211",11
"212",4
"213",4
"214",11
"215",9
"216",5
"217",4
"218",4
"219",8
"220",10
"221",9
"222",5
"223",8
"224",13
"225",9
"226",6
"227",11
"228",6
"229",4
"230",4
"231",4
"232",7
"233",11
"234",3
"235",8
"236",7
"237",4
"238",6
"239",12
"240",13
"241",11
"242",16
"243",6
"244",9
"245",4
"246",7
"247",5
"248",3
"249",4
"250",2
"251",4
"252",2
"253",4
"254",11
"255",3
"256",5
"257",8
"258",27
"259",7
"260",5
"261",3
"262",3
"263",2
"264",5
"265",3
"266",11
"267",14
"268",8
"269",11
"270",11
"271",5
"272",17
"273",7
"274",10
"275",5
"276",5
"277",12
"278",8
"279",5
"280",11
"281",4
"282",4
"283",12
"284",9
"285",5
"286",4
"287",4
"288",8
"289",10
"290",9
"291",5
"292",8
"293",12
"294",9
"295",5
"296",11
"297",6
"298",6
"299",4
"300",4
"301",7
"302",11
"303",3
"304",8
"305",7
"306",4
"307",6
"308",12
"309",13
"310",11
"311",15
"312",5
"313",9
"314",4
"315",7
"316",5
"317",3
"318",4
"319",1
"320",5
"321",1
"322",4
"323",11
"324",3
"325",4
"326",8
"327",26
"328",8
"329",5
"330",3
"331",3
"332",2
"333",6
"334",3
"335",11
"336",14
"337",8
"338",11
"339",10
"340",5
"341",19
"342",9
"343",10
"344",4
"345",6
"346",11
"347",8
"348",5
"349",10
"350",4
"351",4
"352",12
"353",9
"354",5
"355",4
"356",4
"357",8
"358",11
"359",8
"360",5
"361",8
"362",14
"363",8
"364",5
"365",11
"366",6
"367",7
"368",4
"369",4
"370",7
"371",11
"372",3
"373",8
"374",7
"375",4
"376",6
"377",12
"378",13
"379",10
"380",15
"381",5
"382",9
"383",4
"384",6
"385",5
"386",3
"387",4
"388",1
"389",6
"390",2
"391",4
"392",12
"393",3
"394",3
"395",8
"396",26
"397",6
"398",5
"399",3
"400",3
"401",2
"402",6
"403",3
"404",12
"405",15
"406",8
"407",12
"408",10
"409",5
"410",18
"411",8
"412",10
"413",4
"414",5
"415",11
"416",8
"417",5
"418",10
"419",4
"420",4
"421",12
"422",8
"423",5
"424",3
"425",4
"426",8
"427",11
"428",8
"429",5
"430",8
"431",14
"432",9
"433",5
"434",11
"435",6
"436",6
"437",4
"438",4
"439",7
"440",11
"441",3
"442",8
"443",7
"444",4
"445",6
"446",12
"447",13
"448",10
"449",14
"450",5
"451",10
"452",4
"453",6
"454",5
"455",3
"456",4
"457",1
"458",6
"459",1
"460",4
"461",12
"462",3
"463",3
"464",8
"465",27
"466",8
"467",5
"468",3
"469",3
"470",2
"471",6
"472",3
"473",12
"474",13
"475",7
"476",11
"477",9
"478",5
"479",19
"480",8
"481",9
"482",5
"483",6
"484",12
"485",8
"486",5
"487",10
"488",4
"489",4
"490",12
"491",8
"492",5
"493",4
"494",4
"495",8
"496",10
"497",8
"498",5
"499",9
"500",14
"501",9
"502",5
"503",11
"504",5
"505",6
"506",4
"507",4
"508",7
"509",11
"510",3
"511",8
"512",7
"513",4
"514",6
"515",12
"516",13
"517",11
"518",14
"519",5
"520",10
"521",4
"522",6
"523",5
"524",3
"525",4
"526",2
"527",5
"528",1
"529",4
"530",12
"531",3
"532",3
"533",7
"534",27
"535",7
"536",5
"537",3
"538",3
"539",1
"540",6
"541",3
"542",12
"543",13
"544",7
"545",10
"546",10
"547",4
"548",19
"549",7
"550",9
"551",5
"552",6
"553",12
"554",8
"555",5
"556",10
"557",4
"558",4
"559",12
"560",9
"561",5
"562",4
"563",4
"564",8
"565",9
"566",8
"567",5
"568",9
"569",14
"570",9
"571",5
"572",11
"573",6
"574",5
"575",5
"576",4
"577",7
"578",11
"579",3
"580",8
"581",7
"582",4
"583",6
"584",12
"585",13
"586",11
"587",14
"588",5
"589",10
"590",4
"591",6
"592",5
"593",3
"594",4
"595",2
"596",5
"597",1
"598",4
"599",11
"600",3
"601",3
"602",7
"603",25
"604",8
"605",5
"606",3
"607",3
"608",1
"609",6
"610",3
"611",12
"612",13
"613",7
"614",11
"615",11
"616",4
"617",18
"618",7
"619",9
"620",3
"621",4
"622",12
"623",8
"624",5
"625",10
"626",4
"627",4
"628",12
"629",8
"630",5
"631",3
"632",4
"633",8
"634",9
"635",8
"636",5
"637",9
"638",14
"639",9
"640",5
"641",10
"642",6
"643",5
"644",5
"645",4
"646",7
"647",11
"648",3
"649",8
"650",7
"651",4
"652",6
"653",12
"654",13
"655",11
"656",15
"657",5
"658",10
"659",4
"660",6
"661",5
"662",3
"663",4
"664",3
"665",5
"666",2
"667",4
"668",11
"669",3
"670",2
"671",7
"672",26
"673",7
"674",6
"675",3
"676",3
"677",1
"678",6
"679",3
"680",12
"681",14
"682",7
"683",11
"684",12
"685",5
"686",17
"687",7
"688",9
"689",4
"690",5
"691",12
"692",8
"693",5
"694",10
"695",5
"696",4
"697",11
"698",8
"699",5
"700",3
"701",4
"702",8
"703",9
"704",7
"705",5
"706",8
"707",14
"708",9
"709",5
"710",10
"711",6
"712",4
"713",4
"714",4
"715",7
"716",11
"717",3
"718",8
"719",7
"720",4
"721",6
"722",12
"723",13
"724",11
"725",14
"726",5
"727",10
"728",4
"729",5
"730",5
"731",3
"732",4
"733",3
"734",5
"735",2
"736",4
"737",10
"738",3
"739",2
"740",7
"741",25
"742",9
"743",6
"744",3
"745",3
"746",1
"747",6
"748",3
"749",10
"750",14
"751",8
"752",10
"753",12
"754",5
"755",18
"756",7
"757",8
"758",3
"759",7
"760",12
"761",7
"762",5
"763",10
"764",5
"765",5
"766",12
"767",8
"768",5
"769",3
"770",4
"771",8
"772",9
"773",9
"774",5
"775",9
"776",14
"777",9
"778",5
"779",10
"780",6
"781",4
"782",4
"783",4
"784",7
"785",11
"786",3
"787",8
"788",7
"789",4
"790",6
"791",12
"792",13
"793",10
"794",13
"795",6
"796",10
"797",4
"798",5
"799",5
"800",3
"801",4
"802",3
"803",4
"804",2
"805",4
"806",11
"807",3
"808",2
"809",7
"810",24
"811",7
"812",5
"813",3
"814",3
"815",1
"816",6
"817",3
"818",11
"819",12
"820",7
"821",10
"822",12
"823",4
"824",18
"825",6
"826",8
"827",4
"828",8
"829",11
"830",7
"831",5
"832",10
"833",4
"834",5
"835",12
"836",8
"837",5
"838",3
"839",4
"840",9
"841",10
"842",8
"843",5
"844",9
"845",14
"846",9
"847",5
"848",10
"849",6
"850",6
"851",4
"852",4
"853",7
"854",11
"855",3
"856",8
"857",7
"858",4
"859",6
"860",12
