"","x"
"1",4
"2",8
"3",7
"4",3
"5",7
"6",3
"7",5
"8",8
"9",5
"10",5
"11",5
"12",1
"13",8
"14",5
"15",5
"16",3
"17",5
"18",4
"19",5
"20",6
"21",8
"22",9
"23",4
"24",5
"25",2
"26",6
"27",5
"28",2
"29",5
"30",4
"31",12
"32",7
"33",7
"34",8
"35",6
"36",4
"37",4
"38",5
"39",4
"40",11
"41",8
"42",4
"43",6
"44",6
"45",9
"46",6
"47",4
"48",6
"49",7
"50",3
"51",6
"52",4
"53",5
"54",1
"55",6
"56",4
"57",6
"58",12
"59",3
"60",5
"61",8
"62",4
"63",3
"64",6
"65",4
"66",4
"67",3
"68",3
"69",7
"70",4
"71",8
"72",7
"73",3
"74",8
"75",3
"76",5
"77",8
"78",5
"79",5
"80",5
"81",1
"82",8
"83",5
"84",5
"85",3
"86",5
"87",4
"88",5
"89",5
"90",8
"91",8
"92",4
"93",5
"94",2
"95",6
"96",5
"97",2
"98",5
"99",4
"100",12
"101",6
"102",7
"103",8
"104",6
"105",4
"106",4
"107",4
"108",3
"109",13
"110",8
"111",4
"112",6
"113",5
"114",9
"115",7
"116",4
"117",6
"118",6
"119",3
"120",5
"121",4
"122",6
"123",1
"124",6
"125",3
"126",6
"127",12
"128",3
"129",6
"130",7
"131",4
"132",3
"133",6
"134",4
"135",4
"136",4
"137",4
"138",8
"139",4
"140",9
"141",7
"142",3
"143",8
"144",3
"145",5
"146",8
"147",5
"148",6
"149",5
"150",1
"151",8
"152",5
"153",6
"154",3
"155",5
"156",4
"157",4
"158",4
"159",8
"160",7
"161",4
"162",5
"163",2
"164",6
"165",7
"166",2
"167",4
"168",4
"169",11
"170",6
"171",7
"172",8
"173",6
"174",4
"175",4
"176",5
"177",3
"178",13
"179",8
"180",4
"181",6
"182",5
"183",9
"184",8
"185",4
"186",6
"187",6
"188",2
"189",6
"190",4
"191",5
"192",1
"193",6
"194",3
"195",7
"196",12
"197",3
"198",5
"199",7
"200",5
"201",3
"202",7
"203",4
"204",4
"205",4
"206",4
"207",9
"208",4
"209",8
"210",7
"211",3
"212",9
"213",3
"214",4
"215",8
"216",5
"217",6
"218",5
"219",1
"220",8
"221",5
"222",7
"223",3
"224",5
"225",4
"226",4
"227",4
"228",8
"229",7
"230",4
"231",5
"232",2
"233",6
"234",5
"235",2
"236",3
"237",4
"238",11
"239",7
"240",7
"241",8
"242",7
"243",4
"244",4
"245",5
"246",3
"247",12
"248",7
"249",4
"250",6
"251",4
"252",10
"253",7
"254",2
"255",5
"256",7
"257",1
"258",6
"259",4
"260",4
"261",1
"262",6
"263",4
"264",7
"265",12
"266",4
"267",5
"268",7
"269",6
"270",4
"271",6
"272",4
"273",4
"274",4
"275",4
"276",8
"277",4
"278",8
"279",7
"280",3
"281",9
"282",3
"283",4
"284",8
"285",6
"286",6
"287",5
"288",1
"289",9
"290",5
"291",6
"292",3
"293",5
"294",3
"295",3
"296",4
"297",7
"298",7
"299",4
"300",5
"301",2
"302",6
"303",4
"304",2
"305",3
"306",5
"307",11
"308",8
"309",7
"310",8
"311",8
"312",4
"313",4
"314",5
"315",3
"316",12
"317",8
"318",4
"319",6
"320",3
"321",10
"322",7
"323",2
"324",5
"325",7
"326",2
"327",6
"328",4
"329",4
"330",1
"331",6
"332",4
"333",7
"334",13
"335",4
"336",5
"337",7
"338",6
"339",4
"340",7
"341",3
"342",4
"343",4
"344",4
"345",7
"346",4
"347",8
"348",7
"349",3
"350",9
"351",3
"352",4
"353",8
"354",5
"355",6
"356",5
"357",1
"358",8
"359",5
"360",6
"361",3
"362",5
"363",3
"364",4
"365",4
"366",7
"367",7
"368",4
"369",4
"370",2
"371",7
"372",4
"373",2
"374",3
"375",4
"376",10
"377",7
"378",8
"379",8
"380",9
"381",5
"382",4
"383",6
"384",3
"385",14
"386",9
"387",4
"388",6
"389",4
"390",9
"391",7
"392",2
"393",5
"394",8
"395",1
"396",7
"397",4
"398",4
"399",1
"400",6
"401",4
"402",7
"403",12
"404",4
"405",5
"406",7
"407",6
"408",4
"409",7
"410",3
"411",5
"412",4
"413",4
"414",7
"415",4
"416",8
"417",7
"418",4
"419",9
"420",3
"421",4
"422",9
"423",5
"424",6
"425",5
"426",1
"427",7
"428",5
"429",6
"430",4
"431",5
"432",3
"433",4
"434",4
"435",7
"436",7
"437",4
"438",4
"439",2
"440",7
"441",5
"442",3
"443",3
"444",4
"445",11
"446",8
"447",10
"448",8
"449",10
"450",5
"451",4
"452",6
"453",3
"454",13
"455",7
"456",4
"457",7
"458",4
"459",8
"460",7
"461",3
"462",5
"463",8
"464",1
"465",6
"466",4
"467",4
"468",1
"469",6
"470",5
"471",8
"472",13
"473",5
"474",4
"475",7
"476",6
"477",4
"478",7
"479",3
"480",4
"481",4
"482",3
"483",8
"484",4
"485",9
"486",8
"487",4
"488",9
"489",3
"490",5
"491",8
"492",5
"493",6
"494",5
"495",1
"496",6
"497",5
"498",7
"499",5
"500",6
"501",3
"502",4
"503",5
"504",7
"505",7
"506",4
"507",4
"508",2
"509",7
"510",5
"511",3
"512",3
"513",4
"514",11
"515",8
"516",11
"517",9
"518",10
"519",5
"520",4
"521",6
"522",3
"523",13
"524",7
"525",4
"526",7
"527",4
"528",6
"529",8
"530",3
"531",4
"532",8
"533",1
"534",6
"535",4
"536",4
"537",2
"538",6
"539",5
"540",7
"541",12
"542",5
"543",4
"544",7
"545",6
"546",4
"547",7
"548",3
"549",4
"550",5
"551",3
"552",8
"553",4
"554",9
"555",8
"556",4
"557",9
"558",3
"559",5
"560",7
"561",5
"562",6
"563",5
"564",1
"565",5
"566",5
"567",7
"568",4
"569",6
"570",3
"571",5
"572",5
"573",7
"574",7
"575",4
"576",5
"577",2
"578",7
"579",5
"580",3
"581",3
"582",4
"583",12
"584",8
"585",11
"586",9
"587",10
"588",5
"589",4
"590",7
"591",3
"592",12
"593",6
"594",4
"595",6
"596",5
"597",7
"598",9
"599",3
"600",4
"601",8
"602",1
"603",5
"604",4
"605",4
"606",4
"607",6
"608",5
