"","V1","V2","V3"
"1","mu","1.51 (1.42-1.56)","3.18"
"2","muShort","1.21 (1.19-1.33)","3.45"
"3","sigma","0.13 (0.123-0.131)","3.72"
"4","sigma2","0.0553 (0.0511-0.0571)","3.88"
"5","error","1.42 (1.36-1.48)","5.29"
"6","tau2","0.049 (0.0477-0.0631)","2.87"
"7","wane","0.666 (0.53-0.673)","2.6"
"8","sigmadrop","0.197 (0.174-0.204)","3.72"
"9","sigma2drop","0.0659 (0.0627-0.0755)","3.88"
"10","wane_yr","0.794 (0.698-0.838)","2.6"
"11","errorCorrect1","0.276 (0.265-0.287)","5.29"
"12","errorCorrect2","0.71 (0.69-0.729)","5.29"
