"","V1","V2","V3"
"1","mu","1.89 (1.8-1.96)","67"
"2","muShort","2.81 (2.44-3.02)","50.3"
"3","sigma","0.137 (0.133-0.141)","207"
"4","sigma2","0.0333 (0.0298-0.0365)","73.3"
"5","error","1.29 (1.27-1.31)","1540"
"6","tau2","0.0482 (0.0397-0.0535)","18.5"
"7","wane","0.992 (0.963-1)","676"
"8","sigmadrop","0.26 (0.24-0.274)","207"
"9","sigma2drop","0.0939 (0.0739-0.106)","73.3"
"10","wane_yr","2.78 (2.42-2.99)","676"
"11","errorCorrect1","0.301 (0.296-0.306)","1540"
"12","errorCorrect2","0.754 (0.746-0.762)","1540"
