"","V1","V2","V3"
"1","mu","1.42 (1.12-1.67)","132"
"2","muShort","1e-10 (1e-10-1e-10)","0"
"3","sigma","0.128 (0.102-0.145)","203"
"4","sigma2","0.128 (0.102-0.145)","203"
"5","error","1.69 (1.55-1.83)","360"
"6","tau2","0.0286 (0.0209-0.037)","232"
"7","wane","0.422 (0.422-0.422)","0"
"8","sigmadrop","0.182 (0.116-0.237)","203"
"9","sigma2drop","1.28e-11 (1.02e-11-1.45e-11)","203"
"10","wane_yr","4.22e-11 (4.22e-11-4.22e-11)","0"
"11","errorCorrect1","0.429 (0.402-0.459)","360"
"12","errorCorrect2","0.743 (0.708-0.779)","360"
