"","V1","V2","V3"
"1","mu","1.1 (0.993-1.48)","7.72"
"2","muShort","1e-10 (1e-10-1e-10)","0"
"3","sigma","0.0882 (0.0724-0.0959)","6.29"
"4","sigma2","0.0882 (0.0724-0.0959)","6.29"
"5","error","1.44 (1.37-1.52)","59.1"
"6","tau2","0.0303 (0.0218-0.0565)","4.1"
"7","wane","0.573 (0.573-0.573)","0"
"8","sigmadrop","0.0975 (0.0822-0.116)","6.29"
"9","sigma2drop","8.82e-12 (7.24e-12-9.59e-12)","6.29"
"10","wane_yr","5.73e-11 (5.73e-11-5.73e-11)","0"
"11","errorCorrect1","0.487 (0.468-0.506)","59.1"
"12","errorCorrect2","0.81 (0.789-0.83)","59.1"
