"","i","sampno","V1","chain"
"1",1,1000,6,1
"2",1,1100,6,1
"3",1,1200,6,1
"4",1,1300,7,1
"5",1,1400,6,1
"6",1,1500,6,1
"7",1,1600,7,1
"8",1,1700,7,1
"9",1,1800,7,1
"10",1,1900,8,1
"11",1,2000,7,1
"12",1,2100,7,1
"13",1,2200,6,1
"14",1,2300,7,1
"15",1,2400,7,1
"16",1,2500,6,1
"17",1,2600,6,1
"18",1,2700,6,1
"19",1,2800,6,1
"20",1,2900,6,1
"21",1,3000,6,1
"22",1,3100,6,1
"23",1,3200,6,1
"24",1,3300,6,1
"25",1,3400,7,1
"26",1,3500,7,1
"27",1,3600,7,1
"28",1,3700,7,1
"29",1,3800,7,1
"30",1,3900,7,1
"31",1,4000,7,1
"32",1,4100,7,1
"33",1,4200,6,1
"34",1,4300,6,1
"35",1,4400,6,1
"36",1,4500,7,1
"37",1,4600,6,1
"38",1,4700,6,1
"39",1,4800,6,1
"40",1,4900,5,1
"41",1,5000,6,1
"42",2,1000,9,1
"43",2,1100,9,1
"44",2,1200,9,1
"45",2,1300,9,1
"46",2,1400,10,1
"47",2,1500,10,1
"48",2,1600,10,1
"49",2,1700,10,1
"50",2,1800,10,1
"51",2,1900,10,1
"52",2,2000,10,1
"53",2,2100,8,1
"54",2,2200,9,1
"55",2,2300,10,1
"56",2,2400,10,1
"57",2,2500,9,1
"58",2,2600,9,1
"59",2,2700,9,1
"60",2,2800,9,1
"61",2,2900,9,1
"62",2,3000,10,1
"63",2,3100,9,1
"64",2,3200,10,1
"65",2,3300,10,1
"66",2,3400,9,1
"67",2,3500,9,1
"68",2,3600,9,1
"69",2,3700,9,1
"70",2,3800,9,1
"71",2,3900,10,1
"72",2,4000,10,1
"73",2,4100,9,1
"74",2,4200,9,1
"75",2,4300,9,1
"76",2,4400,9,1
"77",2,4500,9,1
"78",2,4600,9,1
"79",2,4700,9,1
"80",2,4800,9,1
"81",2,4900,9,1
"82",2,5000,9,1
"83",3,1000,8,1
"84",3,1100,8,1
"85",3,1200,9,1
"86",3,1300,9,1
"87",3,1400,9,1
"88",3,1500,9,1
"89",3,1600,11,1
"90",3,1700,11,1
"91",3,1800,12,1
"92",3,1900,12,1
"93",3,2000,12,1
"94",3,2100,11,1
"95",3,2200,11,1
"96",3,2300,11,1
"97",3,2400,11,1
"98",3,2500,12,1
"99",3,2600,9,1
"100",3,2700,8,1
"101",3,2800,8,1
"102",3,2900,9,1
"103",3,3000,9,1
"104",3,3100,9,1
"105",3,3200,9,1
"106",3,3300,9,1
"107",3,3400,9,1
"108",3,3500,9,1
"109",3,3600,9,1
"110",3,3700,9,1
"111",3,3800,9,1
"112",3,3900,9,1
"113",3,4000,9,1
"114",3,4100,9,1
"115",3,4200,9,1
"116",3,4300,9,1
"117",3,4400,9,1
"118",3,4500,9,1
"119",3,4600,9,1
"120",3,4700,9,1
"121",3,4800,9,1
"122",3,4900,9,1
"123",3,5000,9,1
"124",4,1000,10,1
"125",4,1100,9,1
"126",4,1200,9,1
"127",4,1300,9,1
"128",4,1400,9,1
"129",4,1500,9,1
"130",4,1600,9,1
"131",4,1700,8,1
"132",4,1800,9,1
"133",4,1900,9,1
"134",4,2000,10,1
"135",4,2100,10,1
"136",4,2200,9,1
"137",4,2300,9,1
"138",4,2400,9,1
"139",4,2500,9,1
"140",4,2600,9,1
"141",4,2700,9,1
"142",4,2800,9,1
"143",4,2900,9,1
"144",4,3000,9,1
"145",4,3100,9,1
"146",4,3200,10,1
"147",4,3300,10,1
"148",4,3400,10,1
"149",4,3500,9,1
"150",4,3600,10,1
"151",4,3700,10,1
"152",4,3800,9,1
"153",4,3900,9,1
"154",4,4000,9,1
"155",4,4100,9,1
"156",4,4200,9,1
"157",4,4300,9,1
"158",4,4400,9,1
"159",4,4500,9,1
"160",4,4600,10,1
"161",4,4700,10,1
"162",4,4800,10,1
"163",4,4900,9,1
"164",4,5000,9,1
"165",5,1000,3,1
"166",5,1100,4,1
"167",5,1200,3,1
"168",5,1300,3,1
"169",5,1400,4,1
"170",5,1500,3,1
"171",5,1600,3,1
"172",5,1700,2,1
"173",5,1800,2,1
"174",5,1900,3,1
"175",5,2000,3,1
"176",5,2100,3,1
"177",5,2200,4,1
"178",5,2300,3,1
"179",5,2400,3,1
"180",5,2500,4,1
"181",5,2600,3,1
"182",5,2700,4,1
"183",5,2800,4,1
"184",5,2900,4,1
"185",5,3000,4,1
"186",5,3100,5,1
"187",5,3200,5,1
"188",5,3300,4,1
"189",5,3400,5,1
"190",5,3500,5,1
"191",5,3600,6,1
"192",5,3700,4,1
"193",5,3800,5,1
"194",5,3900,4,1
"195",5,4000,5,1
"196",5,4100,6,1
"197",5,4200,4,1
"198",5,4300,5,1
"199",5,4400,5,1
"200",5,4500,4,1
"201",5,4600,4,1
"202",5,4700,5,1
"203",5,4800,5,1
"204",5,4900,4,1
"205",5,5000,5,1
"206",6,1000,3,1
"207",6,1100,3,1
"208",6,1200,3,1
"209",6,1300,3,1
"210",6,1400,3,1
"211",6,1500,3,1
"212",6,1600,3,1
"213",6,1700,3,1
"214",6,1800,3,1
"215",6,1900,3,1
"216",6,2000,3,1
"217",6,2100,3,1
"218",6,2200,3,1
"219",6,2300,3,1
"220",6,2400,3,1
"221",6,2500,3,1
"222",6,2600,4,1
"223",6,2700,4,1
"224",6,2800,4,1
"225",6,2900,4,1
"226",6,3000,4,1
"227",6,3100,4,1
"228",6,3200,3,1
"229",6,3300,3,1
"230",6,3400,3,1
"231",6,3500,5,1
"232",6,3600,4,1
"233",6,3700,4,1
"234",6,3800,4,1
"235",6,3900,4,1
"236",6,4000,5,1
